id,title,url,referenceId,posterId,location,type,postDate,company.id,company.name,company.logo,company.url
4029275154,Kaufmännische*r Referent*in (m/w/d),https://www.linkedin.com/jobs/view/4029275154,JyM0/Zbg5/vqwtM0xbQVUQ==,1174004057,"Cologne, North Rhine-Westphalia, Germany (Hybrid)",Full-time,1 week ago,6276495,Kölner Gymnasial- und Stiftungsfonds,https://media.licdn.com/dms/image/v2/C4E0BAQHxU4ozX5OiCA/company-logo_200_200/company-logo_200_200/0/1649080629490?e=1735776000&v=beta&t=R4_rf14e3nrQLEByPtQPWzSSka3qiT73_6fpoowX8YI,https://www.linkedin.com/company/k%C3%B6lner-gymnasial--und-stiftungsfonds/life
3884270225,Experienced React-Native TypeScript developer,https://www.linkedin.com/jobs/view/3884270225,JyM0/Zbg5/vqwtM0xbQVUQ==,17801725,Kosice Metropolitan Area (On-site),Full-time,5 months ago,18267814,Excalibur,https://media.licdn.com/dms/image/v2/C4E0BAQHE6C-tos6t4A/company-logo_200_200/company-logo_200_200/0/1631314832170?e=1735776000&v=beta&t=g-lvnzwQCUjxcU5CSFBBFMlRj1olAayfQMBZuXlow1M,https://www.linkedin.com/company/excalibur-s-r-o/life
4017297004,IT System Administrator (m/f/x),https://www.linkedin.com/jobs/view/4017297004,JyM0/Zbg5/vqwtM0xbQVUQ==,651468661,"Berlin, Germany (Hybrid)",Full-time,3 weeks ago,5386406,Targomo,https://media.licdn.com/dms/image/v2/C560BAQFkPh6K1TcFAw/company-logo_200_200/company-logo_200_200/0/1678434498232/targomo_logo?e=1735776000&v=beta&t=ea7mPSdsjF51afnN55hHEIUXMS9z7OYi0Tmva0_Ebk0,https://www.linkedin.com/company/targomo/life
4031072399,Senior Security Analyst,https://www.linkedin.com/jobs/view/4031072399,JyM0/Zbg5/vqwtM0xbQVUQ==,65078132,"Sliema, Malta (Remote)",Full-time,2 days ago,11027118,CyberSift,https://media.licdn.com/dms/image/v2/D560BAQFJutZCr4yXgA/company-logo_200_200/company-logo_200_200/0/1704877460913/cybersiftio_logo?e=1735776000&v=beta&t=8Kl-Y48OwKWuIz3f3qsw6yxz5Xe0fgwMS3L40IlrfX8,https://www.linkedin.com/company/cybersift.io/life
4014529372,Tech Lead (PhP/ Laravel),https://www.linkedin.com/jobs/view/4014529372,JyM0/Zbg5/vqwtM0xbQVUQ==,300586456,"Vilnius, Vilniaus, Lithuania (Hybrid)",Full-time,3 weeks ago,31445139,GURU PAY,https://media.licdn.com/dms/image/v2/D560BAQEISAUWXt-7cw/company-logo_200_200/company-logo_200_200/0/1692263361893/gurupay_logo?e=1735776000&v=beta&t=LjjhxYKtAIPTFBcSywk5vBN7y9d_lq2esEtmC3Wv0TM,https://www.linkedin.com/company/gurupay/life
3932599523,Cyber Security Project Manager,https://www.linkedin.com/jobs/view/3932599523,JyM0/Zbg5/vqwtM0xbQVUQ==,471386124,"Vilnius, Vilniaus, Lithuania (Hybrid)",Full-time,4 months ago,5022873,NRD Cyber Security,https://media.licdn.com/dms/image/v2/C4E0BAQEI2KZWkCTpsA/company-logo_200_200/company-logo_200_200/0/1631326444113?e=1735776000&v=beta&t=Bg0rub2gYvE2P2zWqeIxh-WCzexrLvMknEKsi9As76s,https://www.linkedin.com/company/nrd-cs/life
4034181432,CYBERSECURITY ANALYST,https://www.linkedin.com/jobs/view/4034181432,JyM0/Zbg5/vqwtM0xbQVUQ==,285956230,Prague Metropolitan Area (Hybrid),Full-time,3 days ago,78551686,Damas Engineering Consulting,https://media.licdn.com/dms/image/v2/D4D0BAQEBwrhTDFBBkA/company-logo_200_200/company-logo_200_200/0/1667291882423/damas_engineering_consulting_logo?e=1735776000&v=beta&t=Uy0bCfxBJUvwM3JBfS_yhnmu-AkN0Y2P9O_WWq4TJFo,https://www.linkedin.com/company/damas-engineering-consulting/life
4032618600,Junior Content and Translations Editor (Polish Speaking),https://www.linkedin.com/jobs/view/4032618600,JyM0/Zbg5/vqwtM0xbQVUQ==,661047831,"Gzira, Malta (Hybrid)",Full-time,4 days ago,5369724,EnergyCasino Careers,https://media.licdn.com/dms/image/v2/D4D0BAQFDJf0WP535zg/company-logo_200_200/company-logo_200_200/0/1683117398757/energy_casino_logo?e=1735776000&v=beta&t=Lpc6NKoZocfTouSSQwC1ZOvlcYM8Y_fU4ylThKyxLrM,https://www.linkedin.com/company/energy-casino/life
3976125305,Cybersecurity Consultant (Microsoft Sentinel/Python),https://www.linkedin.com/jobs/view/3976125305,JyM0/Zbg5/vqwtM0xbQVUQ==,4720556,"Copenhagen, Capital Region of Denmark, Denmark (Hybrid)",Full-time,2 months ago,75459378,Seculyze,https://media.licdn.com/dms/image/v2/C4E0BAQGLMs0PXeafag/company-logo_200_200/company-logo_200_200/0/1630654578616/seculyze_logo?e=1735776000&v=beta&t=a27YWcFkMapo_RwpNwswpCCW4TV1SJsGwibBDxqdVoQ,https://www.linkedin.com/company/seculyze/life
4014941485,Sales and Business Development,https://www.linkedin.com/jobs/view/4014941485,JyM0/Zbg5/vqwtM0xbQVUQ==,16756817,"Amsterdam, North Holland, Netherlands (Hybrid)",Full-time,3 weeks ago,18001318,Fortytwo Security,https://media.licdn.com/dms/image/v2/D4E0BAQHFswytp6gs_w/company-logo_200_200/company-logo_200_200/0/1721724734219/fortytwo_security_logo?e=1735776000&v=beta&t=Pre2V7aJzvNlgO00oV78FEkbFHfOoejkTxUbprGEKgM,https://www.linkedin.com/company/fortytwo-security/life
4030584301,Director of Information Security,https://www.linkedin.com/jobs/view/4030584301,JyM0/Zbg5/vqwtM0xbQVUQ==,1134077690,"Dublin, County Dublin, Ireland (On-site)",Full-time,6 days ago,37901179,Ivy Technology,https://media.licdn.com/dms/image/v2/C4E0BAQH851_gfHBzkA/company-logo_200_200/company-logo_200_200/0/1632386347886/ivy_technology_logo?e=1735776000&v=beta&t=Y7bdDcXp8CICYThy_TwWom1lIop3qWQCVRVlgBKF_DM,https://www.linkedin.com/company/ivy-technology/life
3980773119,"Senior Associate, Corporate & Commercial Law",https://www.linkedin.com/jobs/view/3980773119,JyM0/Zbg5/vqwtM0xbQVUQ==,1060171415,"Valletta, Malta (Hybrid)",Full-time,2 months ago,231637,Chetcuti Cauchi Advocates - Malta Law Firm,https://media.licdn.com/dms/image/v2/D4D0BAQHECaY9_DGdCA/company-logo_200_200/company-logo_200_200/0/1722248791257/chetcuti_cauchi_advocates_logo?e=1735776000&v=beta&t=daqfbx0AlX6CUIgwkB6_ePPT5seP0yCwbmE9OURjn_U,https://www.linkedin.com/company/chetcuti-cauchi-advocates/life
3902550491,Product Marketing Manager Cybersecurity & Compliance (f/m/x),https://www.linkedin.com/jobs/view/3902550491,JyM0/Zbg5/vqwtM0xbQVUQ==,572646,"Düsseldorf, North Rhine-Westphalia, Germany (Hybrid)",Full-time,5 months ago,28899738,ONEKEY,https://media.licdn.com/dms/image/v2/D4E0BAQE-M3wHwM_Hrw/company-logo_200_200/company-logo_200_200/0/1695979973709/onekey_sec_logo?e=1735776000&v=beta&t=gA7usoSnSCU-mwuO-iR_odywmYkELz9fzzW7-nJXSis,https://www.linkedin.com/company/onekey-sec/life
